Neighborhood,Number of Drinking Fountains
Squirrel Hill South,12
Highland Park,11
Perry North,7
Terrace Village,7
Brookline,7
Bloomfield,7
Carrick,6
Mount Washington,6
Elliott,6
Troy Hill,6
Allegheny Center,5
Beechview,5
Shadyside,5
Point Breeze,4
Spring Hill-City View,4
Central Business District,4
Brighton Heights,4
Crawford-Roberts,3
Morningside,3
Garfield,3
Regent Square,3
Perry South,3
Lincoln Place,3
Manchester,3
North Oakland,3
Sheraden,3
Beltzhoover,3
Hazelwood,3
Banksville,3
South Side Flats,3
Greenfield,3
East Liberty,3
Hays,2
Allentown,2
Westwood,2
Squirrel Hill North,2
Polish Hill,2
Lincoln-Lemington-Belmar,2
South Side Slopes,2
Upper Hill,2
Marshall-Shadeland,2
Point Breeze North,2
South Oakland,2
Bon Air,1
Bedford Dwellings,1
East Hills,1
Central Oakland,1
Windgap,1
Homewood West,1
Strip District,1
Central Northside,1
Duquesne Heights,1
Stanton Heights,1
New Homestead,1
Larimer,1
Oakwood,1
Central Lawrenceville,1
Upper Lawrenceville,1
West End,1
Bluff,1
Swisshelm Park,1
Lower Lawrenceville,1
Middle Hill,1
Homewood South,1
Fineview,1
Spring Garden,1
